BookingId;BookingStatusDictionaryId;CreationTime;ModificationTime;IsEnabled
1;1;2025-11-01 10:00:00;2025-11-02 10:00:00;0
1;2;2025-11-02 10:00:00;2025-11-10 10:00:00;0
1;4;2025-11-10 10:00:00;2025-11-12 10:00:00;0
1;5;2025-11-12 10:00:00;2025-12-29 00:00:00;1
2;1;2025-11-05 09:00:00;2025-11-06 09:00:00;0
2;2;2025-11-06 09:00:00;2025-11-15 09:00:00;0
2;4;2025-11-15 09:00:00;2025-11-16 21:00:00;0
2;6;2025-11-16 21:00:00;2025-12-29 00:00:00;1
3;1;2025-11-20 08:00:00;2025-11-21 08:00:00;0
3;2;2025-11-21 08:00:00;2025-12-01 08:00:00;0
3;4;2025-12-01 08:00:00;2025-12-03 08:00:00;0
3;5;2025-12-03 08:00:00;2025-12-29 00:00:00;1
4;1;2025-11-25 12:00:00;2025-11-26 12:00:00;0
4;3;2025-11-26 12:00:00;2025-12-29 00:00:00;1
5;1;2025-12-01 18:00:00;2025-12-02 18:00:00;0
5;2;2025-12-02 18:00:00;2025-12-10 18:00:00;0
5;4;2025-12-10 18:00:00;2025-12-12 18:00:00;0
5;7;2025-12-12 18:00:00;2025-12-29 00:00:00;1
6;1;2025-11-10 09:00:00;2025-11-11 09:00:00;0
6;2;2025-11-11 09:00:00;2025-11-20 09:00:00;0
6;5;2025-11-20 09:00:00;2025-12-29 00:00:00;1
7;1;2025-11-15 14:00:00;2025-11-16 14:00:00;0
7;2;2025-11-16 14:00:00;2025-11-25 14:00:00;0
7;4;2025-11-25 14:00:00;2025-11-26 14:00:00;0
7;5;2025-11-26 14:00:00;2025-12-29 00:00:00;1
8;1;2025-11-25 10:00:00;2025-11-26 10:00:00;0
8;2;2025-11-26 10:00:00;2025-12-02 10:00:00;0
8;4;2025-12-02 10:00:00;2025-12-04 10:00:00;0
8;6;2025-12-04 10:00:00;2025-12-29 00:00:00;1
9;1;2025-12-01 08:00:00;2025-12-02 08:00:00;0
9;2;2025-12-02 08:00:00;2025-12-08 08:00:00;0
9;4;2025-12-08 08:00:00;2025-12-09 20:00:00;0
9;5;2025-12-09 20:00:00;2025-12-29 00:00:00;1
10;1;2025-12-10 10:00:00;2025-12-11 10:00:00;0
10;2;2025-12-11 10:00:00;2025-12-20 10:00:00;0
10;4;2025-12-20 10:00:00;2025-12-22 10:00:00;0
10;5;2025-12-22 10:00:00;2025-12-29 00:00:00;1
11;1;2025-11-01 16:00:00;2025-11-02 16:00:00;0
11;2;2025-11-02 16:00:00;2025-11-10 16:00:00;0
11;4;2025-11-10 16:00:00;2025-11-12 10:00:00;0
11;5;2025-11-12 10:00:00;2025-12-29 00:00:00;1
12;1;2025-12-01 16:00:00;2025-12-02 16:00:00;0
12;3;2025-12-02 16:00:00;2025-12-29 00:00:00;1
13;1;2025-12-10 16:00:00;2025-12-11 16:00:00;0
13;2;2025-12-11 16:00:00;2025-12-20 16:00:00;0
13;4;2025-12-20 16:00:00;2025-12-22 10:00:00;0
13;5;2025-12-22 10:00:00;2025-12-29 00:00:00;1
14;1;2025-10-01 09:00:00;2025-10-02 09:00:00;0
14;2;2025-10-02 09:00:00;2025-10-10 09:00:00;0
14;4;2025-10-10 09:00:00;2025-10-12 09:00:00;0
14;5;2025-10-12 09:00:00;2025-12-29 00:00:00;1
15;1;2025-10-01 16:00:00;2025-10-02 16:00:00;0
15;2;2025-10-02 16:00:00;2025-10-10 16:00:00;0
15;4;2025-10-10 16:00:00;2025-10-12 10:00:00;0
15;5;2025-10-12 10:00:00;2025-12-29 00:00:00;1
