BookingTypeDictionaryId;SourceSystemId;ProviderSystemId;ProviderExternalBookingId;ProviderExternalItemId;CustomerId;CarId;DateFrom;DateTo;BasePrice;DiscountTypeDictionaryId;DiscountAmount;ActualPrice;IsPaid;IsEnabled
1;2;2;2000001;90001;1;1;2025-11-10 10:00:00;2025-11-12 10:00:00;2400.0000;1;0.00;2400.0000;1;1
1;2;2;2000002;90002;2;2;2025-11-15 09:00:00;2025-11-16 21:00:00;1800.0000;2;200.00;1600.0000;1;1
1;2;2;2000003;90003;3;3;2025-12-01 08:00:00;2025-12-03 08:00:00;2300.0000;3;10.00;2070.0000;0;1
1;2;2;2000004;90004;4;4;2025-12-05 12:00:00;2025-12-06 12:00:00;1500.0000;1;0.00;1500.0000;0;1
1;2;2;2000005;90005;5;5;2025-12-10 18:00:00;2025-12-12 18:00:00;3000.0000;4;2500.00;2500.0000;1;1
1;1;1;\N;\N;6;6;2025-11-20 09:00:00;2025-11-22 09:00:00;1900.0000;1;0.00;1900.0000;1;1
1;1;1;\N;\N;7;7;2025-11-25 14:00:00;2025-11-26 14:00:00;900.0000;2;100.00;800.0000;1;1
1;1;1;\N;\N;8;8;2025-12-02 10:00:00;2025-12-04 10:00:00;2600.0000;3;15.00;2210.0000;0;1
1;1;1;\N;\N;9;9;2025-12-08 08:00:00;2025-12-09 20:00:00;1750.0000;1;0.00;1750.0000;0;1
1;1;1;\N;\N;10;10;2025-12-20 10:00:00;2025-12-22 10:00:00;2400.0000;2;150.00;2250.0000;1;1
2;1;3;3001001;70001;1;\N;2025-11-10 16:00:00;2025-11-12 10:00:00;1200.0000;1;0.00;1200.0000;1;1
2;1;3;3001002;70002;2;\N;2025-12-08 16:00:00;2025-12-09 20:00:00;800.0000;2;100.00;700.0000;0;1
2;1;3;3001003;70003;3;\N;2025-12-20 16:00:00;2025-12-22 10:00:00;1500.0000;3;10.00;1350.0000;1;1
1;1;1;\N;\N;4;11;2025-10-10 09:00:00;2025-10-12 09:00:00;2100.0000;1;0.00;2100.0000;1;1
2;1;3;3001004;70004;4;\N;2025-10-10 16:00:00;2025-10-12 10:00:00;1000.0000;1;0.00;1000.0000;1;1
