Name;DisplayName;Description
black;Black;Solid black color
white;White;Solid white color
silver;Silver;Metallic silver color
grey;Grey;Metallic grey color
blue;Blue;Standard blue color
red;Red;Standard red color
green;Green;Standard green color
yellow;Yellow;Bright yellow color
orange;Orange;Bright orange color
beige;Beige;Light beige color
brown;Brown;Brown metallic color
purple;Purple;Deep purple color
gold;Gold;Gold metallic color
bronze;Bronze;Bronze metallic color
navy;Navy;Dark navy blue
teal;Teal;Blue-green teal
maroon;Maroon;Dark red maroon
ivory;Ivory;Off-white ivory
champagne;Champagne;Champagne metallic
graphite;Graphite;Dark graphite grey
charcoal;Charcoal;Charcoal grey
cyan;Cyan;Bright cyan
lime;Lime;Lime green
sand;Sand;Sand / desert beige
khaki;Khaki;Khaki green
