CarId;BookingCount;AccidentCount;AverageRating
1;12;0;4.70
2;9;0;4.60
3;7;1;4.30
4;15;0;4.80
5;11;0;4.50
6;5;0;4.40
7;6;0;4.20
8;10;0;4.60
9;8;1;4.10
10;4;0;4.00
11;3;0;3.90
12;13;0;4.70
13;14;1;4.20
14;6;0;4.10
15;5;0;4.00
16;9;0;4.50
17;7;0;4.30
18;10;0;4.40
19;2;0;3.80
20;4;0;4.00
21;6;0;4.10
22;5;0;4.00
23;8;0;4.30
24;7;0;4.20
25;9;0;4.40
26;10;1;4.10
27;3;0;3.90
28;2;0;3.80
29;5;0;4.00
30;6;0;4.10
31;4;0;4.00
32;7;0;4.20
33;8;0;4.30
34;3;0;3.90
35;5;0;4.00
36;4;0;4.00
37;6;0;4.10
38;2;0;3.80
39;7;0;4.20
40;3;0;3.90
41;4;0;4.00
42;5;0;4.10
43;6;0;4.20
44;7;0;4.30
45;8;0;4.40
46;4;0;4.00
47;5;0;4.10
48;6;0;4.20
49;7;0;4.30
50;3;0;3.90
51;4;0;4.00
52;6;0;4.10
53;5;0;4.00
54;7;0;4.20
55;8;0;4.30
56;2;0;3.80
57;3;0;3.90
58;5;0;4.00
59;4;0;4.00
60;6;0;4.10
61;7;0;4.20
62;3;0;3.90
63;4;0;4.00
64;5;0;4.10
65;6;0;4.20
66;7;0;4.30
67;2;0;3.80
68;3;0;3.90
69;4;0;4.00
70;5;0;4.10
71;6;0;4.20
72;7;0;4.30
73;3;0;3.90
74;4;0;4.00
75;5;0;4.10
76;6;0;4.20
77;7;0;4.30
78;2;0;3.80
79;3;0;3.90
80;4;0;4.00
81;5;0;4.10
82;6;0;4.20
83;7;0;4.30
84;3;0;3.90
85;4;0;4.00
86;5;0;4.10
