CarId;ValidFrom;ValidTo;BasePriceDay;BasePriceHour;ExtensionPriceDay;ExtensionPriceHour;DelayPriceDay;DelayPriceHour
1;2025-01-01 00:00:00;2026-12-31 23:59:59;1200.00;180.00;1350.00;200.00;1800.00;260.00
2;2025-01-01 00:00:00;2026-12-31 23:59:59;1300.00;195.00;1450.00;215.00;1900.00;280.00
3;2025-01-01 00:00:00;2026-12-31 23:59:59;1150.00;170.00;1300.00;190.00;1750.00;250.00
4;2025-01-01 00:00:00;2026-12-31 23:59:59;2600.00;390.00;2900.00;430.00;3600.00;520.00
5;2025-01-01 00:00:00;2026-12-31 23:59:59;2700.00;410.00;3000.00;450.00;3800.00;550.00
6;2025-01-01 00:00:00;2026-12-31 23:59:59;900.00;135.00;1050.00;155.00;1400.00;210.00
7;2025-01-01 00:00:00;2026-12-31 23:59:59;950.00;145.00;1100.00;165.00;1500.00;225.00
8;2025-01-01 00:00:00;2026-12-31 23:59:59;2200.00;330.00;2450.00;360.00;3100.00;460.00
9;2025-01-01 00:00:00;2026-12-31 23:59:59;2300.00;345.00;2550.00;375.00;3200.00;480.00
10;2025-01-01 00:00:00;2026-12-31 23:59:59;750.00;115.00;900.00;135.00;1200.00;180.00
11;2025-01-01 00:00:00;2026-12-31 23:59:59;800.00;120.00;950.00;140.00;1300.00;195.00
12;2025-01-01 00:00:00;2026-12-31 23:59:59;1500.00;230.00;1700.00;250.00;2200.00;320.00
13;2025-01-01 00:00:00;2026-12-31 23:59:59;1800.00;270.00;2000.00;295.00;2600.00;380.00
14;2025-01-01 00:00:00;2026-12-31 23:59:59;1400.00;210.00;1600.00;235.00;2100.00;310.00
15;2025-01-01 00:00:00;2026-12-31 23:59:59;1450.00;220.00;1650.00;245.00;2200.00;320.00
16;2025-01-01 00:00:00;2026-12-31 23:59:59;850.00;125.00;1000.00;150.00;1350.00;200.00
17;2025-01-01 00:00:00;2026-12-31 23:59:59;900.00;135.00;1050.00;155.00;1450.00;215.00
18;2025-01-01 00:00:00;2026-12-31 23:59:59;1250.00;190.00;1450.00;210.00;1900.00;275.00
19;2025-01-01 00:00:00;2026-12-31 23:59:59;1300.00;195.00;1500.00;220.00;1950.00;285.00
20;2025-01-01 00:00:00;2026-12-31 23:59:59;2400.00;360.00;2700.00;400.00;3400.00;500.00
