Name;DisplayName;Description;IsAvailable
available;Available;Car is ready and can be booked;1
reserved;Reserved;Car is reserved (future booking), not available;0
in_use;In use;Car is currently in an active booking;0
handover_pending;Handover pending;Awaiting pickup/handover;0
return_pending;Return pending;Awaiting return/inspection;0
cleaning;Cleaning;Car is being cleaned/prepared;0
inspection;Inspection;Post-rental inspection or routine inspection;0
service;Service;Scheduled maintenance/service;0
repair;Repair;Unscheduled repair;0
accident_review;Accident review;Awaiting insurance/accident assessment;0
relocation;Relocation;In transit between locations;0
inactive;Inactive;Disabled from operations;0
