CarId;CarStatusDictionaryId;CreationTime;ModificationTime;IsEnabled
1;11;2025-01-05 08:00:00;2025-01-05 10:00:00;0
1;7;2025-01-05 10:00:00;2025-01-05 12:00:00;0
1;1;2025-01-05 12:00:00;2025-12-29 00:00:00;1
2;2;2025-01-10 09:00:00;2025-01-12 09:00:00;0
2;3;2025-01-12 09:00:00;2025-01-15 18:00:00;0
2;6;2025-01-15 18:00:00;2025-01-16 10:00:00;0
2;1;2025-01-16 10:00:00;2025-12-29 00:00:00;1
3;8;2025-02-01 08:00:00;2025-02-02 14:00:00;0
3;1;2025-02-02 14:00:00;2025-12-29 00:00:00;1
4;2;2025-02-10 16:00:00;2025-02-11 08:00:00;0
4;3;2025-02-11 08:00:00;2025-02-14 20:00:00;0
4;7;2025-02-14 20:00:00;2025-02-15 12:00:00;0
4;1;2025-02-15 12:00:00;2025-12-29 00:00:00;1
5;9;2025-03-03 09:00:00;2025-03-10 17:00:00;0
5;7;2025-03-10 17:00:00;2025-03-11 10:00:00;0
5;1;2025-03-11 10:00:00;2025-12-29 00:00:00;1
6;11;2025-03-20 07:30:00;2025-03-20 12:00:00;0
6;1;2025-03-20 12:00:00;2025-12-29 00:00:00;1
7;2;2025-04-01 10:00:00;2025-04-03 10:00:00;0
7;3;2025-04-03 10:00:00;2025-04-06 19:00:00;0
7;6;2025-04-06 19:00:00;2025-04-07 09:00:00;0
7;1;2025-04-07 09:00:00;2025-12-29 00:00:00;1
8;8;2025-04-15 08:00:00;2025-04-16 16:00:00;0
8;1;2025-04-16 16:00:00;2025-12-29 00:00:00;1
9;7;2025-05-02 09:00:00;2025-05-02 12:00:00;0
9;1;2025-05-02 12:00:00;2025-12-29 00:00:00;1
10;2;2025-05-10 11:00:00;2025-05-11 09:00:00;0
10;3;2025-05-11 09:00:00;2025-05-13 21:00:00;0
10;1;2025-05-13 21:00:00;2025-12-29 00:00:00;1
11;11;2025-06-01 06:00:00;2025-06-01 09:00:00;0
11;7;2025-06-01 09:00:00;2025-06-01 11:00:00;0
11;1;2025-06-01 11:00:00;2025-12-29 00:00:00;1
12;2;2025-06-10 12:00:00;2025-06-12 12:00:00;0
12;3;2025-06-12 12:00:00;2025-06-16 18:00:00;0
12;6;2025-06-16 18:00:00;2025-06-17 10:00:00;0
12;1;2025-06-17 10:00:00;2025-12-29 00:00:00;1
13;9;2025-07-01 08:00:00;2025-07-08 17:00:00;0
13;1;2025-07-08 17:00:00;2025-12-29 00:00:00;1
14;7;2025-07-15 09:00:00;2025-07-15 12:00:00;0
14;1;2025-07-15 12:00:00;2025-12-29 00:00:00;1
15;8;2025-08-05 08:00:00;2025-08-06 14:00:00;0
15;6;2025-08-06 14:00:00;2025-08-07 09:00:00;0
15;1;2025-08-07 09:00:00;2025-12-29 00:00:00;1
16;2;2025-08-20 10:00:00;2025-08-21 10:00:00;0
16;3;2025-08-21 10:00:00;2025-08-24 20:00:00;0
16;7;2025-08-24 20:00:00;2025-08-25 11:00:00;0
16;1;2025-08-25 11:00:00;2025-12-29 00:00:00;1
17;11;2025-09-01 07:00:00;2025-09-01 10:00:00;0
17;1;2025-09-01 10:00:00;2025-12-29 00:00:00;1
18;2;2025-09-10 09:00:00;2025-09-11 09:00:00;0
18;3;2025-09-11 09:00:00;2025-09-14 18:00:00;0
18;6;2025-09-14 18:00:00;2025-09-15 09:00:00;0
18;1;2025-09-15 09:00:00;2025-12-29 00:00:00;1
19;7;2025-10-01 09:00:00;2025-10-01 12:00:00;0
19;1;2025-10-01 12:00:00;2025-12-29 00:00:00;1
20;8;2025-10-10 08:00:00;2025-10-11 16:00:00;0
20;1;2025-10-11 16:00:00;2025-12-29 00:00:00;1
