ModelId;CarColorDictionaryId
1;1
1;3
1;6
2;4
2;2
3;5
3;2
4;1
4;19
5;4
5;5
6;1
7;4
7;1
8;2
8;3
9;1
9;15
10;6
10;5
11;7
11;1
12;2
12;20
13;1
13;7
14;2
14;4
15;1
15;3
16;1
16;3
17;2
18;3
18;2
19;6
19;20
20;5
21;3
22;2
23;1
24;3
25;5
25;2
26;4
26;1
27;1
27;3
28;8
28;5
29;1
30;2
31;6
32;20
33;2
33;4
34;5
34;1
35;1
35;3
36;1
37;2
38;6
39;2
39;3
40;6
41;1
41;2
42;4
43;2
44;5
44;2
45;4
45;1
46;1
47;3
48;2
49;2
49;1
50;5
50;2
51;1
52;3
53;2
54;5
54;2
55;4
56;7
57;8
58;2
58;4
59;9
59;1
60;2
61;3
62;2
63;6
64;1
65;1
65;5
66;2
66;4
67;1
68;3
69;25
70;20
71;3
72;1
73;3
74;1
75;6
76;4
77;2
78;4
79;3
80;4
81;2
82;1
83;2
84;1
85;6
86;1
