Name;DisplayName;Description
fwd;FWD;Front-wheel drive
rwd;RWD;Rear-wheel drive
awd;AWD;All-wheel drive (general)
4wd;4WD;Four-wheel drive (general / off-road)
audi_quattro;Audi quattro;Audi AWD/4WD branding (various systems)
audi_quattro_ultra;Audi quattro ultra;On-demand AWD system used in some Audi models
bmw_xdrive;BMW xDrive;BMW AWD system
bmw_m_xdrive;BMW M xDrive;Performance AWD used in BMW M models
mercedes_4matic;Mercedes 4MATIC;Mercedes-Benz AWD system
mercedes_amg_4matic_plus;AMG 4MATIC+;AMG performance AWD with variable torque split
vw_4motion;VW 4MOTION;Volkswagen AWD system
porsche_ptm;Porsche PTM;Porsche Traction Management (AWD)
porsche_turbo_awd;Porsche Turbo AWD;Performance AWD used in Turbo models
subaru_symmetrical_awd;Subaru Symmetrical AWD;Subaru full-time AWD concept
toyota_awd_i;Toyota AWD-i;Toyota on-demand electric rear axle AWD (some hybrids)
lexus_direct4;Lexus DIRECT4;Torque control AWD system (some Lexus hybrids/EVs)
ford_awd;Ford Intelligent AWD;Ford on-demand AWD branding
jeep_4x4;Jeep 4x4;Jeep 4x4 systems (brand umbrella)
jeep_quadra_trac;Jeep Quadra-Trac;Jeep AWD/4WD system family
jeep_quadra_drive;Jeep Quadra-Drive;Jeep 4x4 with rear eLSD variants
landrover_4wd;Land Rover 4WD;Land Rover 4x4 systems (brand umbrella)
range_rover_awd;Range Rover AWD;Range Rover AWD branding
volvo_awd;Volvo AWD;Volvo AWD system (often Haldex-based historically)
nissan_attesa_ets;Nissan ATTESA E-TS;Performance AWD system (legacy branding)
mitsubishi_sawc;Mitsubishi S-AWC;Super All Wheel Control system
