EmailId;EmailStatusDictionaryId;CreationTime;ModificationTime;IsEnabled
1;1;2025-12-20 12:00:00;2025-12-20 12:00:05;0
1;2;2025-12-20 12:00:05;2025-12-20 12:00:10;0
1;3;2025-12-20 12:00:10;2025-12-29 00:00:00;1
2;1;2025-12-01 10:00:00;2025-12-01 10:00:05;0
2;2;2025-12-01 10:00:05;2025-12-01 10:00:15;0
2;4;2025-12-01 10:00:15;2025-12-29 00:00:00;1
3;1;2025-11-10 08:00:00;2025-11-10 08:00:10;0
3;2;2025-11-10 08:00:10;2025-11-10 08:00:20;0
3;3;2025-11-10 08:00:20;2025-12-29 00:00:00;1
4;1;2025-11-26 12:00:00;2025-11-26 12:00:05;0
4;6;2025-11-26 12:00:05;2025-12-29 00:00:00;1
5;1;2025-11-12 11:00:00;2025-11-12 11:00:05;0
5;2;2025-11-12 11:00:05;2025-11-12 11:00:12;0
5;5;2025-11-12 11:00:12;2025-12-29 00:00:00;1
6;1;2025-12-05 09:30:00;2025-12-05 09:30:05;0
6;3;2025-12-05 09:30:05;2025-12-29 00:00:00;1
7;1;2025-12-21 09:00:00;2025-12-21 09:00:05;0
7;2;2025-12-21 09:00:05;2025-12-21 09:00:10;0
7;3;2025-12-21 09:00:10;2025-12-29 00:00:00;1
8;1;2025-10-02 08:00:00;2025-10-02 08:00:05;0
8;2;2025-10-02 08:00:05;2025-10-02 08:00:15;0
8;3;2025-10-02 08:00:15;2025-12-29 00:00:00;1
9;1;2025-12-22 18:00:00;2025-12-22 18:00:05;0
9;2;2025-12-22 18:00:05;2025-12-22 18:00:10;0
9;3;2025-12-22 18:00:10;2025-12-29 00:00:00;1
10;1;2025-12-10 07:00:00;2025-12-10 07:00:05;0
10;3;2025-12-10 07:00:05;2025-12-29 00:00:00;1
11;1;2025-12-29 01:00:00;2025-12-29 01:00:05;0
11;3;2025-12-29 01:00:05;2025-12-29 01:00:10;0
11;6;2025-12-29 01:00:10;2025-12-29 02:00:00;1
