Name;DisplayName;Description
gasoline;Gasoline;Petrol internal combustion engine
diesel;Diesel;Compression-ignition internal combustion engine
lpg;LPG;Liquefied petroleum gas
cng;CNG;Compressed natural gas
hybrid;Hybrid;ICE + electric motor (non-plug-in)
phev;Plug-in Hybrid (PHEV);Plug-in hybrid with externally chargeable battery
mhev;Mild Hybrid (MHEV);Small electric assistance system
electric;Electric (BEV);Battery electric vehicle
hydrogen_fcev;Hydrogen (FCEV);Fuel cell electric vehicle
ethanol_e85;E85 (Ethanol);Flex-fuel capable (E85)
