ModelId;Generation;HorsePower;EngineDisplacement;FuelTankCapacity;EnergyStorageCapacity;DoorCount;SeatCount
1;992;385;2981;64;;2;4
2;992;650;3745;67;;2;4
3;J1;680;0;;93.4;4;5
4;3rd Gen;460;3996;90;;5;5
5;1st Gen;380;2894;65;;5;5
6;971;462;2894;80;17.9;5;5
7;1st Gen;600;3996;85;;5;5
8;2nd Gen;265;1984;70;;5;5
9;B9;204;1968;58;;4;5
10;8Y;310;1984;55;;4;5
11;8Y;400;2480;55;;4;5
12;1st Gen;646;0;;93.4;4;5
13;W463;585;3982;100;;5;5
14;W206;204;1999;66;;4;5
15;W213;197;1950;66;;4;5
16;W223;503;3982;76;;4;5
17;X254;258;1991;66;;5;5
18;X290;639;3982;80;;5;4
19;EVA2;288;0;;90.6;4;5
20;EVA2;516;0;;107.8;4;5
21;G20;184;1998;59;;4;5
22;G30;190;1995;66;;4;5
23;G01;265;2993;60;;5;5
24;G05;335;2998;83;;5;5
25;G80;510;2993;59;;4;5
26;F90;625;4395;68;;4;5
27;G26;544;0;;83.9;4;5
28;I20;523;0;;111.5;5;5
29;Mk8;150;1498;50;;5;5
30;Mk8;320;1984;55;;5;5
31;B8;200;1968;66;;5;5
32;AD1;200;1968;60;;5;5
33;CR;286;2967;75;;5;5
34;MEB;204;0;;77.0;5;5
